rank,business,city,county,category,address,phone,web_signal,tier,chamber_listed,score,why,verify,status,contacted,notes
40,Encore Rehabilitation of Columbia,Columbia,Marion,physicaltherapy,,,unknown,1,,60,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
41,First Place Physical Therapy,Columbia,Marion,physicaltherapy,,,unknown,1,,60,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
42,Southern Bone & Joint Specialists PA,Columbia,Marion,physicaltherapy,,,unknown,1,,60,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
43,BUMPERs Tires & Accessories,Columbia,Marion,tire,1310 Highway 98 E,(601) 731-5834,own,1,yes,58,has a site - lead with local search/Google profile; chamber-listed,confirm phone/address + open their site on a phone before calling,,,
44,Air Maintenance Inc.,Columbia,Marion,hvac,,(601) 270-2233,own,1,,57,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
45,Hathorn Funeral Home,Columbia,Marion,funeral,167 Old Highway 98 E,(601) 731-2000,own,1,,57,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
46,L.K. Berry Law,Columbia,Marion,law,,,own,1,,57,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
47,Leggett Orthodontics - Columbia,Columbia,Marion,orthodontic,620 Broad St,(601) 833-4912,own,1,,57,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
48,Smith Funeral Home,Columbia,Marion,funeral,,(601) 736-2257,own,1,,57,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
49,Watts Electric & AC,Columbia,Marion,hvac,,(601) 736-7362,own,1,,57,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
50,BAC Mechanical Services,Brookhaven,Lincoln,hvac,,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
51,Hartman-Harrigill Funeral Home,Brookhaven,Lincoln,funeral,101 W Chickasaw St,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
52,Marshall Funeral Home,Brookhaven,Lincoln,funeral,412 N Second St,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
53,Ole Brook Heating & Cooling,Brookhaven,Lincoln,hvac,,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
54,"Peoples Undertaking Co., Inc.",McComb,Pike,funeral,607 Elmwood St,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
55,The Old Koke Plant,Brookhaven,Lincoln,venue,,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
56,The Red Barn,South Mississippi,,venue,,,unknown,3,,55,"web presence not established - check before calling; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
57,Broad Street Restaurant,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
58,Celina's Diner,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
59,Magnolia Grille,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
60,Milano's Pizza and Pasta,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
61,Rajun Cajun's,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
62,Raquel's Family Restaurant,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
63,Smoke Shack Barbecue,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
64,The Back Door,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
65,Uptown Soulfood Diner,Columbia,Marion,restaurant,,,unknown,1,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
66,43 General Store,Monticello,Lawrence,retail,,,unknown,2,,49,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
67,Anatomies,Hattiesburg,Forrest,gym,,,unknown,3,,48,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
68,Pure Performance Gym,Hattiesburg,Forrest,gym,,,unknown,3,,48,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
69,Revolution Fitness,Hattiesburg,Forrest,gym,,,unknown,3,,48,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
70,Moree's Florist & More,Columbia,Marion,florist,402 Lumberton Rd,,own,1,,45,has a site - lead with local search/Google profile,confirm phone/address + open their site on a phone before calling,,,
71,Animal Medical Center,Brookhaven,Lincoln,veterinary,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
72,Belk Ditcharo Dental,Brookhaven,Lincoln,dental,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
73,Bridlewood Event Venue,Hattiesburg,Forrest,venue,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
74,Brookhaven Animal Hospital,Brookhaven,Lincoln,veterinary,1210 US-51,(601) 833-1223,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
75,Brookhaven Dental Center,Brookhaven,Lincoln,dental,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
76,Brookhaven Funeral Home,Brookhaven,Lincoln,funeral,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
77,Brookside Barn,Ellisville,Jones,venue,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
78,Brookway Dental,Brookhaven,Lincoln,dental,706 Brookway Blvd,(601) 823-3200,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
79,Comfort Zone Heating & Cooling LLC,Brookhaven,Lincoln,hvac,2218 New Sight Rd,(601) 833-3131,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
80,Dr. Mac L. Baker Dentistry,Brookhaven,Lincoln,dental,,(601) 833-7241,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
81,Plastic Surgery Center of Hattiesburg,Hattiesburg,Forrest,medspa,,(601) 293-3405,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
82,Radiant Reflections Medspa,Hattiesburg,Forrest,medspa,,(601) 268-7777,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
83,The White Barn,South Mississippi,,venue,,,own,3,,45,"has a site - lead with local search/Google profile; high-ticket service, one job pays for the site",confirm phone/address + open their site on a phone before calling,,,
84,Annie B's,Collins,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
85,Best Wok,Prentiss,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
86,Binke's Restaurant,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
87,Catfish One,Monticello,Lawrence,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
88,China Wok,Monticello,Lawrence,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
89,Chuck's SouthSide,Purvis area,Lamar,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
90,Collard Greens & Tortillas,Monticello,Lawrence,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
91,Country Hix Boudin and Cracklins,Collins,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
92,Cowboy Jim's Riverside Restaurant,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
93,Deli Diner,Collins,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
94,Dinner On Main,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
95,Donut Time,Monticello area,Lawrence,bakery,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
96,Downtown Burger,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
97,Eastside Soul Food Restaurant,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
98,Finch & Fox Coffee Shop,Monticello area,Lawrence,cafe,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
99,Frosty Mug,Purvis area,Lamar,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
100,Graham's Fish Camp,Collins area,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
101,GrateFull Soul,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
102,Habanero Mexican Grill,Collins,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
103,Hamburger House,Prentiss,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
104,Hog Heaven BBQ,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
105,Katie's Restaurant & Bar,Purvis area,Lamar,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
106,Kuntry Fisherman Bar & Grill,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
107,L.T.'s Food,Purvis area,Lamar,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
108,Los Parrilleros,Monticello,Lawrence,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
109,Main Street Cafe,Collins,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
110,Miss K's of Monticello,Monticello,Lawrence,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
111,Mom & Dad's Country Cooking Buffet,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
112,Mom & Pop's Soul Food Kitchen & Barbecue,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
113,Nanny's Diner,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
114,Pearl's Diner,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
115,Petunia's BBQ,Purvis area,Lamar,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
116,R and K Kickin Lickin BBQ,Purvis area,Lamar,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
117,Red's,Collins,Covington,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
118,Rustic Barrel,Monticello,Lawrence,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
119,Shivers Creek Fish House,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
120,Sumrall Donuts & Breakfast,Sumrall,Lamar,bakery,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
121,The Shack On 184,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
122,Vezlicious Daiquiris and Wings,Prentiss area,Jefferson Davis,restaurant,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
123,Whistle Stop Cafe,Purvis area,Lamar,cafe,,,unknown,2,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
124,601 Boutique,Laurel,Jones,boutique,327 N Magnolia St,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
125,Bella Bella,Laurel,Jones,boutique,,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
126,Bertha's Flower Shop,Brookhaven,Lincoln,florist,103 W Chickasaw St,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
127,HAND+made,Laurel,Jones,retail,,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
128,Le Nail Day Spa,Brookhaven,Lincoln,nails,939 Brookway Blvd,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
129,Southern Antique & Gift Mall,Laurel,Jones,retail,,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
130,The Cotton Boll,Laurel,Jones,boutique,,,unknown,3,,43,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
131,Marion County Farm Bureau,Columbia,Marion,insurance,434 Broad St,(601) 736-3244,corp,1,,40,franchise site - owner may not control it,confirm phone/address + open their site on a phone before calling,,,
132,Paul S. Broom - Allstate Agency,Columbia,Marion,insurance,262 S High School Ave,(601) 731-1616,corp,1,,40,franchise site - owner may not control it,confirm phone/address + open their site on a phone before calling,,,
133,Strategic Insurance Professionals,Columbia,Marion,insurance,418 Sumrall Rd Ste 2,(769) 255-6332,corp,1,,40,franchise site - owner may not control it,confirm phone/address + open their site on a phone before calling,,,
134,FSFIT (Fourth Street CrossFit),Hattiesburg,Forrest,gym,120 98th Place Blvd,(601) 602-3269,own,3,,38,has a site - lead with local search/Google profile,confirm phone/address + open their site on a phone before calling,,,
135,Al Dente,McComb,Pike,restaurant,2101 Veterans Blvd,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
136,Berry's Seafood & Catfish House,Magee,Simpson,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
137,Betty's Eat Shop,Brookhaven,Lincoln,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
138,Bill's Catfish & Steaks,Wiggins,Stone,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
139,Buddy's,McComb,Pike,restaurant,821 Delaware Ave,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
140,Chickn' Coop,Brookhaven,Lincoln,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
141,Chism's Diner,Brookhaven,Lincoln,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
142,Crawfish Connection,Wiggins area,Stone,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
143,Cuevas's Fish House,Picayune,Pearl River,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
144,Cypress Landing,McComb,Pike,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
145,Don's Seafood Restaurant,Picayune,Pearl River,restaurant,800 Highway 11 S,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
146,Double E BBQ,McComb,Pike,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
147,Fatty's Seafood Restaurant,Picayune,Pearl River,restaurant,3320 Highway 11 N,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
148,Friend's Kitchen,Brookhaven,Lincoln,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
149,Hibachi Express,Wiggins,Stone,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
150,Joses Restaurant & Grill,Magee,Simpson,restaurant,,,unknown,3,,37,web presence not established - check before calling,confirm phone/address + open their site on a phone before calling,,,
